Group Type,Demographic Group,Sample Count,MAE (kcal),RMSE (kcal),MAPE (%),Avg Actual (kcal),Avg Predicted (kcal)
Age Group,< 30,47,10.93,13.01,7.3,175.0,179.3
Age Group,30 - 50,73,15.97,20.02,9.71,174.8,175.9
Age Group,> 50,80,17.01,21.96,11.95,158.6,155.8
Gender,Male,101,14.94,18.28,9.62,173.4,174.7
Gender,Female,99,15.47,20.61,10.46,163.3,162.6
BMI Category,Underweight,15,16.86,20.12,13.27,150.9,149.9
BMI Category,Normal,76,14.72,19.22,9.66,170.2,170.1
BMI Category,Overweight,45,15.8,20.64,10.23,169.6,170.1
BMI Category,Obese,64,14.97,18.76,9.59,169.5,170.3
